,Katun Hitam,Katun Putih,Polyester Hitam,Polyester Putih
mean_R,63.45915644219219,150.7610285312476,57.478453400442206,155.34927914087476
mean_G,73.92589565548384,167.00554556139573,63.88360679250328,170.7835582493225
mean_B,84.51882896716593,181.01570193923286,71.21589580764119,185.316931008868
contrast_R,0.813832040277759,0.07206714956737517,2.4947298545425047,0.04527503173322822
dissimilarity_R,0.544753276009294,0.07153835838049494,0.8749983390302758,0.04492454287880014
homogeneity_R,0.753465365143949,0.9642836908973809,0.6848016445871778,0.9775724288900439
energy_R,0.2684511319592778,0.4329603318629779,0.22537666564071646,0.6440656394007662
correlation_R,0.8264117896412198,0.9809356332587247,0.8062004400699062,0.9399566985719169
asm_R,0.0723173669049856,0.18749633875207375,0.05100088129027643,0.4148893670651632
entropy_R,17.497116371082733,11.289563179086022,21.07224906216429,6.418002475092585
contrast_G,0.8152709479533706,0.07229152430637475,2.526832914375069,0.04594552365374694
dissimilarity_G,0.54567358675719,0.07175975860812865,0.8867768210012505,0.04559248948185751
homogeneity_G,0.7530537594425256,0.9641732893796835,0.6799423958773145,0.9772386775615678
energy_G,0.26327786684534166,0.4379051936054567,0.2152295389303076,0.6518889043578773
correlation_G,0.8372012506738238,0.980561518004391,0.8153846583807548,0.9364001656266224
asm_G,0.06955927213582967,0.1918115783596261,0.046517956474301625,0.4250332789146465
entropy_G,17.708121032886755,11.216744290472427,21.51972005309946,6.297174487619595
contrast_B,0.8150023276607302,0.07222042435484094,2.5421408318456575,0.047121871114117
dissimilarity_B,0.5457095277042278,0.07168823195581348,0.8928388785796123,0.046773588224642546
homogeneity_B,0.7530047782176159,0.9642090952878378,0.6772965918935308,0.9766476560241071
energy_B,0.2590166590055178,0.4367363836001817,0.20679251628810394,0.6680880471325231
correlation_B,0.8463889794434707,0.9807559340829997,0.8211614725647971,0.9321448484032625
asm_B,0.06732972520562072,0.19078408406841293,0.04295572814459379,0.4464557460412814
entropy_B,17.909134459602857,11.278035899055324,21.856340613945182,6.2195167021806155
